Datetime,Weekday,FeelsLikeTemp,HourlyPrecip,SolarRadiation,temperature,wind_speed,humidity,TW,Line,inner_congestion_pct,outer_congestion_pct,prev_1h_inner_congestion_pct,prev_1h_outer_congestion_pct,prev_24h_inner_congestion_pct,prev_24h_outer_congestion_pct
2024-01-01 0:00,Mon,0.757290865,0,0,0.6,1.9,97,0.223412956,2,0.19,0.06,64.12,44.69,30.94,14.69
2024-01-01 1:00,Mon,0.353369314,0,0,0.5,2.2,97,0.123337782,2,0,0,0.19,0.06,0,0
2024-01-01 2:00,Mon,3.402062342,0,0,0.4,0.4,98,0.10537885,2,0,0,0,0,0,0
2024-01-01 3:00,Mon,0.325404985,0,0,-0.1,1.7,98,-0.396068862,2,0,0,0,0,0,0
2024-01-01 4:00,Mon,-0.310518576,0,0,-0.2,2.2,98,-0.496358468,2,0,0,0,0,0,0
2024-01-01 5:00,Mon,1.503559128,0,0,0.3,1.2,99,0.087521075,2,13.44,37.19,0,0,4.44,12.38
2024-01-01 6:00,Mon,0.723580056,0,0,0.5,2,99,0.288523777,2,13.25,32.81,13.44,37.19,11.38,28.12
2024-01-01 7:00,Mon,0.429429888,0,0,0.4,2.1,98,0.10537885,2,7.06,18,13.25,32.81,25.5,64.69
2024-01-01 8:00,Mon,2.053191673,0,0,0.2,0.8,98,-0.095200172,2,8.12,19.94,7.06,18,37.69,92
2024-01-01 9:00,Mon,1.665187758,0,0.27,0.6,1.3,99,0.389025097,2,7.56,22.12,8.12,19.94,26.62,78.38
2024-01-01 10:00,Mon,3.048527141,0,0.82,2.4,1.4,95,1.85340575,2,12.88,24.31,7.56,22.12,40.62,76.69
2024-01-01 11:00,Mon,3.310640614,0,1.36,4.4,2,82,2.718819677,2,23.81,30.81,12.88,24.31,69.81,90.19
2024-01-01 12:00,Mon,3.574608892,0,1.7,5.7,2.3,73,3.20648463,2,30.75,33.5,23.81,30.81,101.44,110.25
2024-01-01 13:00,Mon,5.528808331,0,1.87,7.3,1.6,70,4.44895835,2,35.25,38.38,30.75,33.5,121.75,132.56
2024-01-01 14:00,Mon,4.092667061,0,0.65,6.5,2.1,68,3.535452754,2,50.81,41.81,35.25,38.38,176.5,145.38
2024-01-01 15:00,Mon,4.958727596,0,0.5,6.4,1.2,68,3.442910862,2,63.75,41.44,50.81,41.81,248.25,161.56
2024-01-01 16:00,Mon,3.314818632,0,0.18,5.8,2.2,68,2.887658482,2,72.5,42.69,63.75,41.44,311.06,183.31
2024-01-01 17:00,Mon,3.195555565,0,0.08,5.5,2.3,71,2.853720149,2,89.19,42.44,72.5,42.69,390.81,185.81
2024-01-01 18:00,Mon,3.923455819,0,0.01,4.9,1.1,71,2.292929762,2,70.62,40.62,89.19,42.44,400.75,230.25
2024-01-01 19:00,Mon,3.427714595,0,0,4.6,1.3,72,2.091951748,2,72.69,39.5,70.62,40.62,268,145.75
2024-01-01 20:00,Mon,3.481350056,0,0,4.4,1.3,75,2.143773516,2,81.38,45.06,72.69,39.5,188.19,104.12
2024-01-01 21:00,Mon,3.07049989,0,0,4.3,1.7,77,2.210528714,2,89.75,47.25,81.38,45.06,185.88,97.75
2024-01-01 22:00,Mon,3.267541627,0,0,4.1,1.5,79,2.182337454,2,77.69,45.12,89.75,47.25,148.12,86.06
2024-01-01 23:00,Mon,2.796838143,0,0,3.9,2,82,2.236151409,2,34.69,24.19,77.69,45.12,64.12,44.69
2024-01-02 0:00,Tue,2.894158149,0,0,3.7,1.7,82,2.043083882,2,18.88,9,34.69,24.19,0.19,0.06
2024-01-02 1:00,Tue,3.7223631,0,0,3.5,1.1,85,2.096567952,2,0,0,18.88,9,0,0
2024-01-02 2:00,Tue,2.529098826,0,0,3.3,2,86,1.984635934,2,0,0,0,0,0,0
2024-01-02 3:00,Tue,1.515436848,0,0,3,2.2,80,1.208052391,2,0,0,0,0,0,0
2024-01-02 4:00,Tue,4.432407537,0,0,2.8,0.4,82,1.174278423,2,0,0,0,0,0,0
2024-01-02 5:00,Tue,6.101679751,0,0,2.4,0.1,84,0.946402656,2,3.56,10,0,0,13.44,37.19
2024-01-02 6:00,Tue,3.480547039,0,0,2.3,0.6,84,0.849357501,2,11.44,28.19,3.56,10,13.25,32.81
2024-01-02 7:00,Tue,4.30666642,0,0,2.2,0.3,82,0.595073314,2,28.75,73,11.44,28.19,7.06,18
2024-01-02 8:00,Tue,1.439957465,0,0,2.3,1.4,77,0.306601263,2,47.19,115.19,28.75,73,8.12,19.94
2024-01-02 9:00,Tue,0.794161081,0,0.12,2.3,1.8,75,0.15642652,2,32.25,94.94,47.19,115.19,7.56,22.12
2024-01-02 10:00,Tue,0.713583355,0,0.26,2.7,2.2,74,0.459574207,2,40.31,76.06,32.25,94.94,12.88,24.31
2024-01-02 11:00,Tue,1.660222691,0,0.4,3.1,1.6,73,0.760962081,2,58.31,75.38,40.31,76.06,23.81,30.81
2024-01-02 12:00,Tue,1.958159957,0,0.6,3.6,1.7,72,1.154309285,2,81.06,88.12,58.31,75.38,30.75,33.5
2024-01-02 13:00,Tue,2.029331905,0,0.63,4,1.7,68,1.221890419,2,89.12,97.06,81.06,88.12,35.25,38.38
